Timestamp,Milliseconds,centimeters
2019-10-27 21:49:58,427001,8.0
2019-10-27 21:49:59,428001,8.0
2019-10-27 21:50:00,429002,8.0
2019-10-27 21:50:01,430001,8.0
2019-10-27 21:50:02,431002,8.0
2019-10-27 21:50:03,432001,8.0
2019-10-27 21:50:04,433001,8.0
2019-10-27 21:50:05,434002,8.0
2019-10-27 21:50:06,435001,8.0
2019-10-27 21:50:07,436001,8.0
2019-10-27 21:50:08,437002,8.0
2019-10-27 21:50:09,438001,8.0
2019-10-27 21:50:10,439002,8.0
2019-10-27 21:50:11,440001,8.0
2019-10-27 21:50:12,441001,8.0
2019-10-27 21:50:13,442001,8.0
2019-10-27 21:50:14,443002,8.0
2019-10-27 21:50:15,444001,8.0
2019-10-27 21:50:16,445001,8.0
2019-10-27 21:50:17,446002,8.0
2019-10-27 21:50:18,447001,8.0
2019-10-27 21:50:19,448001,8.0
2019-10-27 21:50:20,449002,8.0
2019-10-27 21:50:21,450001,8.0
2019-10-27 21:50:22,451001,8.0
2019-10-27 21:50:23,452002,8.0
2019-10-27 21:50:24,453001,8.0
2019-10-27 21:50:25,454002,8.0
2019-10-27 21:50:26,455001,8.0
2019-10-27 21:50:27,456001,8.0
2019-10-27 21:50:28,457002,8.0
2019-10-27 21:50:29,458001,8.0
2019-10-27 21:50:30,459002,8.0
2019-10-27 21:50:31,460001,8.0
2019-10-27 21:50:32,461001,8.0
2019-10-27 21:50:33,462002,8.0
2019-10-27 21:50:34,463001,8.0
2019-10-27 21:50:35,464001,8.0
2019-10-27 21:50:36,465002,8.0
2019-10-27 21:50:37,466001,8.0
2019-10-27 21:50:38,467002,8.0
2019-10-27 21:50:39,468001,8.0
2019-10-27 21:50:40,469001,8.0
2019-10-27 21:50:41,470001,8.0
2019-10-27 21:50:42,471002,8.0
2019-10-27 21:50:43,472002,8.0
2019-10-27 21:50:44,473001,8.0
2019-10-27 21:50:45,474001,8.0
2019-10-27 21:50:46,475002,8.0
2019-10-27 21:50:47,476001,8.0
2019-10-27 21:50:48,477002,8.0
2019-10-27 21:50:49,478002,8.0
2019-10-27 21:50:50,479001,8.0
2019-10-27 21:50:51,480001,8.0
2019-10-27 21:50:52,481002,8.0
2019-10-27 21:50:53,482001,8.0
2019-10-27 21:50:54,483002,8.0
2019-10-27 21:50:55,484001,8.0
2019-10-27 21:50:56,485001,8.0
2019-10-27 21:50:57,486002,8.0
2019-10-27 21:50:58,487001,8.0
2019-10-27 21:50:59,488002,8.0
2019-10-27 21:51:00,489001,8.0
2019-10-27 21:51:01,490002,8.0
2019-10-27 21:51:02,491001,8.0
2019-10-27 21:51:03,492001,8.0
2019-10-27 21:51:04,493002,8.0
2019-10-27 21:51:05,494001,8.0
2019-10-27 21:51:06,495002,8.0
2019-10-27 21:51:07,496001,8.0
2019-10-27 21:51:08,497001,8.0
2019-10-27 21:51:09,498001,8.0
2019-10-27 21:51:10,499002,8.0
2019-10-27 21:51:11,500001,8.0
2019-10-27 21:51:12,501002,8.0
2019-10-27 21:51:13,502001,8.0
2019-10-27 21:51:14,503001,8.0
2019-10-27 21:51:15,504002,8.0
2019-10-27 21:51:16,505001,8.0
2019-10-27 21:51:17,506002,8.0
2019-10-27 21:51:18,507001,8.0
