Timestamp,Milliseconds,Illuminance
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4969809,80.0
2019-10-27 17:29:05,4970022,80.0
2019-10-27 17:29:07,4971038,80.0
2019-10-27 17:29:08,4972030,80.0
2019-10-27 17:29:18,4982518,80.0
2019-10-27 17:29:18,4982518,80.0
2019-10-27 17:29:18,4982518,80.0
2019-10-27 17:29:18,4982518,80.0
2019-10-27 17:29:18,4982518,80.0
2019-10-27 17:29:18,4982518,80.0
2019-10-27 17:29:18,4982518,80.0
2019-10-27 17:29:18,4982519,80.0
2019-10-27 17:29:18,4982519,80.0
2019-10-27 17:29:18,4982519,80.0
2019-10-27 17:29:18,4983024,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
2019-10-27 17:30:05,5029066,80.0
